AKT1	ATR	AURKB	BRAF	CAMK2A	CDK1	CDK2	CDK4	CDK5	CDK7	CHEK1	CHEK2	CSNK2A1	DYRK1A	DYRK2	GSK3B	LYN	MAPK1	MAPK14	MAPK8	MAPKAPK2	MARK2	MTOR	PAK1	PAK2	PLK1	PRKAA1	PRKACA	PRKCA	PRKCB	PRKCD	PRKCE	PRKCI	PRKD1	PRKG1	ROCK1	RPS6KA1	RPS6KA3	RPS6KB1	SGK1	SRC
CHEK2	0.480260544279684	0.590688534576998	0.422651975113237	0.526743930913309	0.104641018883436	0.959573306828207	0.560537270251327	0.192412323787372	0.777610686309417	0.102137809506344	2.00805704331331e-10	0	0.0839683442715379	0.74332219055431	0.0251304591160098	0.750983965966414	0.69566927693845	0.0361314046076527	0.191041989361977	0.705560890498325	0.144920037569937	0.831544768691699	0.289805706487789	0.217688369119157	0.915572167243726	0.0179808873788152	0.335640034424616	0.998251474972013	0.656881879740726	0.410372551658149	0.990000127266481	0.820603366829968	0.320306540049047	0.989944097248335	5.48843274030309e-06	0.0189643900146045	0.172310998491419	0.163874772463614	0.843342747132077	0.00806473342458077	0.23254283066383
CSNK2A1	0.182856210974313	0.405198604117596	0.0953202937548723	0.806998570205668	0.0199565498140171	0.292970678276847	0.400104286691973	0.575347990619913	0.377759009180525	0.00114384426586219	0.432421230072706	0.0839683442715382	0	0.0150112292791692	0.00962600532741892	0.516862328511655	0.000254910471978343	0.0805818917126365	0.237724739759745	0.209119182462226	0.141119941637562	0.419023223270908	0.0404454869457625	0.985014670061517	0.671384764972051	0.0206869932565444	0.966704093679002	0.148936611371558	0.28529979821799	0.929126675208081	0.0842848050792715	0.428136466603109	0.148253350943824	0.291982861333501	0.686072342565661	0.902232583200642	0.0319318122518357	0.413749203629308	0.244180739475385	0.802282404869713	0.00653370205232249
DYRK1A	0.193288379229811	0.73484265928084	0.531259675421605	0.356738622680835	0.0699398776756098	0.145069728467134	0.256731796083524	0.038062033303484	0.710898612449481	0.000109313354531141	0.00217648037002439	0.74332219055431	0.0150112292791692	0	0.00650196176043903	0.629486171908134	0.777376309163365	0.00858925638044867	0.49557335908726	0.0804034674967134	0.474559901629315	0.0682259467064683	0.86431292563678	0.00393518327357435	0.967366212310989	0.236103019644803	0.590578796328942	0.348544016752687	0.294315090760744	0.0467011474018283	0.647998673079031	0.78107497926161	0.842371675773911	0.549394608363634	0.00764281740000011	0.0396712144910655	0.526897575199779	0.656218963620538	0.615911900123336	0.417253914489616	0.383626079915001
DYRK2	0.229665789812122	0.442978311855953	0.212396342822359	0.989630165218	0.794683827153932	0.466102268534007	0.232489196843822	0.00264848230358532	0.0977801133817676	0.142493215562323	0.0906190831120263	0.0251304591160099	0.00962600532741885	0.00650196176043901	0	0.682830729654338	0.275182735157488	5.1501108622736e-06	0.957005565447024	0.0368977273924687	0.206812084505962	0.85247891736925	0.0189504180005334	0.00991749848208216	0.419751347136915	0.794665502866576	0.106893472347782	0.0918981983861255	0.0327920741181303	0.581171300958312	0.00357110106800865	0.869421365307657	0.732527461952564	0.384690480681306	0.186384283503721	0.627425862962506	0.421341157051203	0.161682766229747	0.466519409792687	0.159931399638682	0.145818150389129
GSK3B	0.997284631858244	0.495035215216715	0.17000487290962	0.352050499244876	0.232927165332196	0.110963797110814	0.41333983838981	0.0599265475378543	0.313593063374877	0.00457048209097054	0.406855906361141	0.750983965966414	0.516862328511655	0.629486171908134	0.682830729654338	0	0.2915073343512	0.577781755378772	0.814450988479369	0.0621327308938396	0.253654916261248	0.18453550109714	0.0260420255172742	0.944303173736992	0.0836964660495449	0.086231826700042	0.226379777854298	0.949431896761025	0.0560218151340514	0.467043123818512	0.047460178706869	0.404578350782252	0.738950450413417	0.467485434335987	0.89098273993701	0.35821625415354	0.209263503709579	0.994871938114989	0.384445603299549	0.308497043436144	0.635299341302178
LYN	0.0284758859971282	0.0529394552979817	0.0177262067096672	0.322085939176913	0.0690049838701274	0.507757285916382	0.408333490318479	0.337538270797302	0.291609540409948	0.912558134318181	0.942562382782632	0.695669276938451	0.000254910471978343	0.777376309163365	0.275182735157488	0.291507334351201	0	0.692593400920718	0.0183638381749874	0.153374366556937	0.39787642049275	0.387492144937209	0.086207515239578	0.0756743644377964	0.673736334546677	0.155791339196079	0.613728654773802	0.0481799602097041	0.400479507680231	0.298419735159023	0.572477675513344	0.748851151595835	0.703645005146006	0.0452755305108442	0.744695874440898	0.201779926751113	0.146571330276244	0.308794571833204	0.546298642960108	0.00830285775288211	3.8017620610462e-52
MAPK1	0.552379735311007	0.876964853223478	0.00620483648843537	0.24750498538464	0.319723121032053	0.000123228047890947	0.302797026865877	0.0996190980670451	0.183517782276582	0.0333045079773782	0.000177996794560599	0.0361314046076528	0.0805818917126365	0.00858925638044865	5.1501108622737e-06	0.577781755378772	0.692593400920717	0	0.0693009273815771	0.0125077365323126	0.559430217908979	0.989938585404449	0.0238275350005076	0.258386201959402	0.664438527349471	0.681275434575349	0.181548551752595	0.941396589967189	0.288960839870589	0.161461099895385	0.971690447828418	0.717830544761389	0.829424461913966	0.368468164412771	0.308449257418353	0.851909536661072	0.566934533045546	0.00877486022669111	0.319877187499371	0.189528662310715	0.0462535141429317
MAPK14	0.318053055074623	0.639596521070318	0.727080781335662	0.801262839689011	0.953296473540336	0.45140675552435	0.58040569118298	0.388284380034853	0.0839537303986306	0.423282256078798	0.798345768252256	0.191041989361977	0.237724739759745	0.49557335908726	0.957005565447025	0.814450988479369	0.0183638381749874	0.0693009273815773	0	0.0405641855915613	0.633080536147059	0.921008794023958	0.416626237042059	0.673589347173951	0.194831989318213	0.80344924310668	0.027125687981464	0.122372028293581	0.553536759995617	0.0132938222895601	0.161173776816979	0.0639479817699098	0.0186025031873519	0.37162322011139	0.141671042209441	0.0709703479771739	0.134371433604701	0.553614511365059	0.310503055169963	0.848840287020967	0.0660860164791715
MAPK8	0.936852300833213	0.663098167125027	0.225831848238931	0.969487808117242	0.735517595033727	0.712300994437018	0.834824106308647	0.943366368540387	0.749664849156415	0.00566071503172352	0.10769309930304	0.705560890498325	0.209119182462226	0.0804034674967134	0.0368977273924687	0.0621327308938395	0.153374366556937	0.0125077365323125	0.0405641855915612	0	0.336715149956388	0.0703964191307019	0.114763806318315	0.731031871586902	0.837697052254647	0.735713636614344	0.0574676988684919	0.12991077658818	0.244298719202083	0.00965160202485835	0.723461611124142	0.319305622555882	0.668727246596561	0.823421952305861	0.0355143057609757	0.0247043458848952	0.0160432554407668	0.0208207302010489	0.897782142089894	0.45000597397138	0.823915642372162
MAPKAPK2	0.233724432405186	0.14921972833526	0.033768430016472	0.0464468056025227	0.838163950317604	0.984976726071892	0.770471474782863	0.271985019895405	0.423631150512894	0.0487576987119049	0.10801517291546	0.144920037569937	0.141119941637562	0.474559901629314	0.206812084505962	0.253654916261249	0.39787642049275	0.559430217908979	0.633080536147059	0.336715149956387	0	0.786378228028565	0.824489439220515	0.0337992490695205	6.53395596949537e-06	0.494813959821767	0.771781083526417	0.0689628758328339	0.675524592005884	0.503933118966984	0.0519991812938959	0.285234934196808	0.670635028036293	0.000627038498253502	2.69451064489831e-18	0.00923555939049535	0.814205803301658	0.139902252087923	0.862907335589346	0.375769114984429	0.853117502464214
