gena	genb	mut.info
126	ADRBK1	HCK	-0.00916148381510062
127	ADRBK1	IKBKB	0.0290577018465079
128	ADRBK1	INSR	-0.0107942480997316
129	ADRBK1	IRAK1	0.00558747976446483
130	ADRBK1	JAK2	0.0999339922088716
131	ADRBK1	LATS1	0.016149797102023
132	ADRBK1	LCK	-0.00668869767468827
133	ADRBK1	LYN	0.0216171587244967
134	ADRBK1	MAP2K1	0.0532531567220929
135	ADRBK1	MAP2K4	0.00458330234356019
136	ADRBK1	MAP3K5	-0.0104268784427353
137	ADRBK1	MAP3K7	-0.00514560724704261
138	ADRBK1	MAP3K8	-0.020907029230524
139	ADRBK1	MAPK1	0.00862883390334712
140	ADRBK1	MAPK11	-0.0198148700304985
141	ADRBK1	MAPK14	0.0353932008678841
142	ADRBK1	MAPK7	-0.00091713356893397
143	ADRBK1	MAPK8	-0.00770633348844729
144	ADRBK1	MAPKAPK2	0.0268657256183644
145	ADRBK1	MARK2	-0.0253532424790643
146	ADRBK1	MELK	0.00713709003023766
147	ADRBK1	MET	0.0140966569264709
148	ADRBK1	MTOR	-0.00535832303839179
149	ADRBK1	NEK6	0.0429188794746151
150	ADRBK1	PAK1	-0.00198719525827418
151	ADRBK1	PAK2	-0.028765661766375
152	ADRBK1	PAK4	0.0156253235244028
153	ADRBK1	PDGFRB	0.0734916571911866
154	ADRBK1	PDPK1	-0.00716225583854424
155	ADRBK1	PIM1	0.0107531951860933
156	ADRBK1	PLK1	-0.030680928415376
157	ADRBK1	PLK3	0.0429317320809979
158	ADRBK1	PRKAA1	0.00749252218465735
159	ADRBK1	PRKACA	0.0261327387137857
160	ADRBK1	PRKCA	0.0962998509424811
161	ADRBK1	PRKCB	-0.003251413397658
162	ADRBK1	PRKCD	0.000409732625209713
163	ADRBK1	PRKCE	0.00324123514199126
164	ADRBK1	PRKCI	-0.00988746178447464
165	ADRBK1	PRKCQ	-0.00774607067234534
166	ADRBK1	PRKCZ	-0.00698249140910789
167	ADRBK1	PRKD1	0.00485097236135523
168	ADRBK1	PRKG1	-0.0458817755533971
169	ADRBK1	RET	0.00384630634394867
170	ADRBK1	ROCK1	-0.00371654206679484
171	ADRBK1	RPS6KA1	0.00215767793801103
172	ADRBK1	RPS6KA3	0.034994714116964
173	ADRBK1	RPS6KA5	-0.0278584597952793
174	ADRBK1	RPS6KB1	-0.0068715709970375
175	ADRBK1	SGK1	-0.0161742751006084
176	ADRBK1	SRC	0.00463398445386876
177	ADRBK1	STK11	-0.026673004289858
178	ADRBK1	STK4	0.0134529848965927
179	ADRBK1	SYK	0.000679301973211643
180	ADRBK1	TBK1	-0.0310552840655962
181	ADRBK1	TTK	-0.0220407234838351
182	ADRBK1	ULK1	-0.0312539097536222
183	ADRBK1	VRK1	-0.0152866868129244
184	AKT1	ATM	-0.0237973807758287
185	AKT1	ATR	0.00658107603196179
186	AKT1	AURKA	0.0171631478043368
187	AKT1	AURKB	-0.040237674521677
188	AKT1	BMX	0.0420833855990024
189	AKT1	BRAF	-0.000967689813724526
190	AKT1	BTK	-0.000900862765155885
191	AKT1	CAMK1	0.0485235974006004
192	AKT1	CAMK2A	0.00464916640971857
193	AKT1	CAMK2D	0.0170357887867869
194	AKT1	CDC7	0.0349289016010967
195	AKT1	CDK1	-0.003396359646759
196	AKT1	CDK2	0.0771339724213327
197	AKT1	CDK4	0.000256307352559659
198	AKT1	CDK5	0.00698569791758086
199	AKT1	CDK7	-0.00201988879791415
200	AKT1	CDK9	0.0646032139508161
201	AKT1	CHEK1	0.0357693577392251
202	AKT1	CHEK2	-0.0120375089734175
203	AKT1	CHUK	0.00182789947627349
204	AKT1	CSNK1A1	0.00574970061728219
205	AKT1	CSNK1D	-0.0137005517602633
206	AKT1	CSNK2A1	0.0442842052193484
207	AKT1	DAPK1	0.105023441572725
208	AKT1	DYRK1A	-0.0141578750536473
209	AKT1	DYRK2	-0.00910841602553436
210	AKT1	EGFR	-0.0239185076746402
211	AKT1	ERBB2	0.0435457095504956
212	AKT1	FER	0.013369017064508
213	AKT1	FYN	-0.0186195739408364
214	AKT1	GRK4	0.0345084249327856
215	AKT1	GSK3B	0.0203305639972511
216	AKT1	HCK	-0.0431393892792471
217	AKT1	IKBKB	0.0106871425480382
218	AKT1	INSR	-0.0215303775699374
219	AKT1	IRAK1	0.107148303666746
220	AKT1	JAK2	0.0892067914032966
221	AKT1	LATS1	0.0297403097442279
222	AKT1	LCK	0.0818675251808125
223	AKT1	LYN	-0.00489919540401207
224	AKT1	MAP2K1	0.00891804314160982
225	AKT1	MAP2K4	0.0917634000452123
226	AKT1	MAP3K5	0.0872247763573446
227	AKT1	MAP3K7	0.0913378158978837
228	AKT1	MAP3K8	0.0074535380114451
229	AKT1	MAPK1	-0.000440741099208886
230	AKT1	MAPK11	-0.0106667216205132
231	AKT1	MAPK14	-0.0245785535394054
232	AKT1	MAPK7	0.00984961428520137
233	AKT1	MAPK8	0.052341203283131
234	AKT1	MAPKAPK2	0.0355269281451269
235	AKT1	MARK2	0.0343980485703081
236	AKT1	MELK	-0.014102855174718
237	AKT1	MET	0.0193406863713657
238	AKT1	MTOR	0.0354490045832714
239	AKT1	NEK6	0.071454696505449
240	AKT1	PAK1	0.0339683913975639
241	AKT1	PAK2	-0.0234209082257877
242	AKT1	PAK4	-0.00654772048570074
243	AKT1	PDGFRB	-0.0100778318010635
244	AKT1	PDPK1	0.100019432673058
