GRK4	CSNK1D	7.05986782075e-22
MTOR	PAK1	4.07067998056e-16
CDK9	ROCK1	2.07372522097e-15
VRK1	FYN	1.77066248706e-22
PIM1	TBK1	3.10159485744e-19
LCK	IKBKB	1.39259708108e-17
STK4	MAP3K7	2.31024294468e-17
GSK3B	AURKB	4.10141915542e-17
GSK3B	ABL1	3.4247161635e-15
MAPKAPK2	JAK2	2.23367378063e-18
STK4	SRC	2.19847959932e-19
DAPK1	CAMK1	1.82612388588e-19
CAMK1	ATR	5.51976382494e-20
PDPK1	STK11	5.96430520182e-21
STK4	PLK1	3.82930993709e-19
ULK1	EGFR	8.74650939916e-17
CSNK1D	BRAF	4.49278421268e-16
PLK3	AURKB	5.66056679104e-20
PRKCE	FYN	1.58433541857e-17
PRKCI	FYN	1.84765414835e-18
MAP2K1	MAPK1	2.26834239876e-10
CSNK1A1	PLK1	2.03405356581e-17
CHEK1	NEK6	1.06510906244e-18
FYN	BRAF	1.76309116459e-18
MELK	CSNK1A1	1.01788706909e-18
CAMK2A	PRKCD	3.0911620785e-16
CDK7	STK11	3.00296833537e-17
CAMK1	NEK6	4.76682546151e-23
PDGFRB	MET	5.4896101876e-19
MAP3K7	MAP2K1	2.00469679445e-16
CHEK2	PRKCD	1.16518360975e-15
PRKCE	RPS6KA1	3.02821302652e-17
STK4	PRKACA	4.02058498551e-21
AURKB	RPS6KA5	1.85188891243e-17
LCK	ATM	2.89399233965e-16
EGFR	VRK1	3.99202915451e-18
CDK7	NEK6	3.06235145373e-17
RPS6KB1	FER	8.88968241157e-22
RET	MAP3K5	1.08345631013e-15
ROCK1	CDK4	1.24768062853e-21
MAPK7	PAK4	3.818644269e-16
BTK	ERBB2	3.59460171829e-19
TBK1	MAPKAPK2	2.3507647701e-18
PDPK1	RPS6KA5	3.08166254544e-17
RPS6KA3	PLK1	2.92231438288e-17
RPS6KB1	CSNK2A1	3.73421721643e-18
PRKCQ	PRKCB	1.92601995631e-17
RPS6KA3	ATM	3.70231323908e-16
PRKACA	MAPKAPK2	4.96063475816e-19
CDC7	PAK4	1.69671221447e-16
FER	RPS6KA5	7.33337631235e-24
STK4	MAP2K1	1.26166283569e-20
LATS1	DAPK1	1.78612166503e-18
MAP3K5	CDK4	1.33208421561e-19
PRKCI	CHUK	5.65804240646e-22
PIM1	MAP3K7	1.34298066837e-16
TTK	CAMK1	2.96554475131e-19
CDK1	JAK2	5.67591085105e-16
PRKACA	PRKD1	2.09937331691e-14
BRAF	EGFR	1.79357412309e-16
MELK	PDGFRB	1.22816286646e-19
PLK3	MAP2K1	2.75034702091e-16
ATR	RPS6KA5	1.19799021765e-16
PRKCD	FER	1.45352844915e-17
MAP2K1	CDK7	1.33680273843e-19
MAPK8	PLK1	3.55718347959e-18
AURKB	SRC	8.34717211785e-16
BMX	PRKCZ	1.17990747205e-25
MAPK7	ROCK1	1.11033534261e-18
MAPK7	MAP3K5	4.58495889744e-19
MAP3K8	MAPK1	2.4396941904e-24
PAK2	AURKA	4.37930650175e-17
MAPK1	AKT1	1.76578635915e-17
AURKB	PRKCZ	1.7552942069e-19
BTK	CDC7	2.86800319957e-19
ROCK1	CDK9	4.31594362052e-17
PRKCB	LATS1	1.49958156487e-16
RET	AKT1	4.68377048617e-16
CHEK2	CSNK2A1	6.16850852197e-15
RPS6KB1	CHUK	5.17347608986e-19
VRK1	RET	4.62656997543e-22
RPS6KA1	BMX	1.38976444373e-16
AURKA	PLK3	4.53449045763e-17
SGK1	CHUK	2.72910812897e-16
CAMK2A	CSNK2A1	8.54981252555e-18
MAPK7	PRKCE	7.84413264469e-17
PDPK1	CDK1	4.76875558041e-22
FYN	EGFR	2.01011127316e-17
CSNK1A1	PRKCZ	1.73444175257e-18
MARK2	DYRK2	2.20580149283e-21
PRKG1	PRKCZ	7.22471394395e-20
STK4	TTK	1.84782838429e-17
RPS6KB1	MAPK7	2.22683254843e-18
TBK1	PRKCA	4.18669402658e-18
CDK4	BMX	9.38283357345e-20
ATR	PDGFRB	4.44148814293e-18
PRKCQ	PDPK1	6.03038448909e-16
CHEK1	MAP3K7	3.92089737142e-16
TTK	AURKA	1.15893661905e-17
PLK1	CHEK1	6.98375683059e-16
DYRK1A	MAP2K4	2.5498702633e-16
PRKCE	VRK1	2.33504695168e-17
MELK	PLK1	3.10728910706e-18
STK4	PRKCQ	1.42719478152e-20
MAP3K5	BRAF	8.82031457835e-17
MAPK11	PRKCA	4.16118591966e-21
DYRK1A	CAMK2A	1.98568488332e-20
MARK2	MAPKAPK2	5.07131274858e-23
CSNK2A1	PIM1	9.59131671428e-19
CAMK2A	ERBB2	7.7704707028e-17
ABL1	CDK4	1.37723352229e-16
DYRK2	CDK2	2.48186386408e-21
PRKAA1	CHEK1	3.27814878055e-16
GSK3B	MAP2K4	1.88047005783e-16
BMX	LYN	1.67078143164e-20
PRKG1	CAMK1	8.57240226768e-20
DYRK2	IRAK1	1.13829840753e-14
RPS6KA1	PLK3	3.66756559761e-19
MAPK14	PRKCE	5.94825353945e-16
EGFR	CDK5	4.28666436729e-19
GRK4	CAMK1	1.06525826368e-24
CAMK1	DYRK1A	1.39917383137e-26
PAK4	PAK1	6.27799118229e-18
PRKCD	ROCK1	7.21640771709e-16
PRKD1	PRKCZ	7.55798726086e-18
LATS1	ABL1	2.26830636748e-18
PRKCZ	MAPK7	1.18814417526e-15
PIM1	ROCK1	1.26417308406e-17
ATM	MARK2	1.99198086917e-16
DYRK2	CSNK1A1	2.39777135852e-18
CHEK1	EGFR	1.1959270159e-16
LYN	PLK1	4.6479201735e-16
RPS6KA3	INSR	1.55573247632e-16
CSNK1A1	MAPK7	1.64420114374e-15
MAPK11	LATS1	7.4701172244e-16
RET	CAMK1	8.22015433497e-20
LATS1	NEK6	7.64594879627e-22
PAK4	PLK1	9.71427002303e-22
DYRK2	CHEK2	9.78279471484e-18
RPS6KA1	CAMK2A	1.57312734438e-15
PRKCA	NEK6	2.87691307518e-18
STK11	CAMK2D	3.37754704947e-21
CAMK1	CSNK1D	6.00104919775e-23
CAMK2D	CDK1	1.40040576179e-18
JAK2	RET	6.81485622023e-17
SYK	INSR	6.77852593388e-18
PRKD1	MAPK1	2.46189745038e-19
GRK4	TBK1	4.49635764114e-20
CSNK2A1	MAPKAPK2	1.78558385293e-19
PRKCQ	LYN	1.68647483429e-16
CDC7	RPS6KB1	1.41950345166e-16
PRKACA	MAPK1	4.21365320447e-19
ADRBK1	RPS6KA5	1.87654010321e-15
MARK2	PRKG1	7.19615581776e-21
MAP3K5	DYRK1A	1.62898290167e-19
MARK2	PRKCQ	2.69678108229e-24
MAP2K1	MAP3K8	3.98886078491e-24
PRKCQ	CDK5	7.61541226649e-20
AKT1	PRKACA	1.45601391851e-17
FYN	MAPK14	6.3453306072e-16
INSR	CDC7	3.98744582651e-18
MET	MELK	1.1822608013e-22
MAPK1	AURKA	1.81379799698e-17
AURKB	ROCK1	2.49197946391e-16
CHUK	CDK9	1.96959482622e-14
ROCK1	CSNK2A1	2.14916590065e-18
CDC7	PAK1	7.17660053144e-18
MAPK14	PDPK1	4.06719229475e-16
PLK3	NEK6	1.15946235225e-19
MAP2K1	MAPK11	1.1292348362e-15
RPS6KA3	PRKCD	1.80667949017e-15
NEK6	LCK	1.6432039599e-18
PRKG1	MTOR	1.23980039089e-14
ERBB2	AKT1	1.61398436613e-19
PRKCB	PRKCA	4.70440933208e-16
TTK	PRKCQ	6.25849011396e-19
MAPKAPK2	CSNK2A1	3.92910596491e-19
LYN	ULK1	1.85558297024e-19
PLK1	SGK1	5.14641267353e-18
FER	CSNK1D	5.2992097444e-24
RPS6KB1	PLK1	4.32612762485e-19
CDK7	VRK1	2.77945483564e-18
MELK	PRKCA	1.01838497534e-16
ADRBK1	DAPK1	5.34316734781e-17
MAP3K8	MTOR	7.88535207448e-17
RPS6KA3	PIM1	3.33580974517e-19
FYN	CHEK2	1.67557540712e-18
RPS6KA5	NEK6	4.6345148922e-20
PLK3	PRKCB	3.79119394587e-18
PDPK1	CSNK1D	2.22590170138e-19
PRKAA1	MAP3K7	1.65952021682e-15
MAP3K7	PAK2	8.09106827047e-17
CHEK1	DAPK1	3.68203689276e-15
PIM1	ATR	2.45849922724e-13
INSR	MARK2	8.2853731108e-19
PRKD1	SYK	5.91569884852e-18
PRKD1	PRKG1	1.02379664157e-17
ULK1	SRC	4.58697189971e-19
RPS6KA5	CDK2	1.88868449857e-24
HCK	CHUK	1.05474623781e-23
PAK4	BMX	1.44689425113e-25
PRKCB	INSR	8.22806318368e-18
PRKAA1	MAP2K1	3.87168300603e-17
PRKCI	LYN	3.57082822647e-19
SRC	RPS6KB1	3.80720505765e-18
SGK1	SRC	1.0497544535e-19
RPS6KA5	MAPK1	1.68799813117e-22
PRKCE	STK11	4.33234009355e-17
MTOR	GSK3B	2.89678265531e-17
