gena	genb	mut.info
129	AKT1	NEK6	0.00229411760866771
130	AKT1	PAK1	0.0127969925653728
131	AKT1	PAK2	0.0165752900534635
132	AKT1	PAK4	0.00561366827985577
133	AKT1	PDPK1	0.0167436828349006
134	AKT1	PIM1	0.00640270369749185
135	AKT1	PLK1	0.00885619681514171
136	AKT1	PLK3	0.00940327062268143
137	AKT1	PRKAA1	0.0143586425164148
138	AKT1	PRKACA	0.020952975951384
139	AKT1	PRKCA	0.0171149172556531
140	AKT1	PRKCB	0.0318890861174213
141	AKT1	PRKCD	0.0395086084494958
142	AKT1	PRKCE	0.0165967970805019
143	AKT1	PRKCI	0.0061430642230702
144	AKT1	PRKCQ	0.0182396832351488
145	AKT1	PRKCZ	0.0206554450967191
146	AKT1	PRKD1	0.00242055830861432
147	AKT1	PRKG1	0.0102699304137914
148	AKT1	RET	0.00906282369422318
149	AKT1	ROCK1	0.0097731674988859
150	AKT1	RPS6KA1	0.0368894912385027
151	AKT1	RPS6KA3	0.0338521251433903
152	AKT1	RPS6KA5	0.015994011427515
153	AKT1	RPS6KB1	0.0424104075293679
154	AKT1	SGK1	0.0382388665875286
155	AKT1	SRC	0.00611885458155648
156	AKT1	STK11	0.0228426892002371
157	AKT1	SYK	0.0130570779250014
158	AKT1	TBK1	0.0079231426139641
159	AKT1	TTK	0.00730140738549867
160	AKT1	ULK1	0.012017538628827
161	AKT1	VRK1	0.0296721242716451
162	ATM	ATR	0.0569548013694083
163	ATM	AURKA	0.0144735403725385
164	ATM	AURKB	0.00811148020208741
165	ATM	BRAF	0.00632026352835258
166	ATM	CAMK1	0.00428533090655581
167	ATM	CAMK2A	0.00411406007963766
168	ATM	CAMK2D	0.00381655104021572
169	ATM	CDC7	0.0259468503219402
170	ATM	CDK1	0.0181942533764232
171	ATM	CDK2	0.00996203842855348
172	ATM	CDK4	0.00609693485110707
173	ATM	CDK5	0.00756318947004697
174	ATM	CDK7	0.0218572682749789
175	ATM	CDK9	0.0166971323153291
176	ATM	CHEK1	0.00827173404571369
177	ATM	CHEK2	0.00305736695160697
178	ATM	CHUK	0.0147149714461907
179	ATM	CSNK1A1	0.00756628960239247
180	ATM	CSNK1D	0.00907294628557498
181	ATM	CSNK2A1	0.0290261152839646
182	ATM	DAPK1	0.0155591765812932
183	ATM	DYRK1A	0.00565401258517628
184	ATM	DYRK2	0.00436439199286109
185	ATM	EGFR	0.0145891014003796
186	ATM	FYN	0.00494705496649406
187	ATM	GSK3B	0.0194653151324804
188	ATM	IKBKB	0.007072427710062
189	ATM	INSR	0.00576320675465247
190	ATM	IRAK1	0.00407670146006645
191	ATM	JAK2	0.00954024295815614
192	ATM	LATS1	0.00851552746146744
193	ATM	LCK	0.0018027485498866
194	ATM	LYN	0.00167345918120265
195	ATM	MAP2K1	0.00390723956402539
196	ATM	MAP2K4	0.012718784219369
197	ATM	MAP3K5	0.00372096638286656
198	ATM	MAP3K7	0.0110678607749675
199	ATM	MAP3K8	0.00509661708551779
200	ATM	MAPK1	0.00211805699005829
201	ATM	MAPK11	0.0135350977751507
202	ATM	MAPK14	0.00380340301434767
203	ATM	MAPK7	0.020636852628658
204	ATM	MAPK8	0.00847402918201912
205	ATM	MAPKAPK2	0.00736949334275572
206	ATM	MARK2	0.00592428213828011
207	ATM	MTOR	0.01074443573909
208	ATM	NEK6	0.00477729890606682
209	ATM	PAK1	0.0020168697005909
210	ATM	PAK2	0.0106067776290146
211	ATM	PAK4	0.00887467281896193
212	ATM	PDPK1	0.027071305473239
213	ATM	PIM1	0.0176589313180902
214	ATM	PLK1	0.00460265031388563
215	ATM	PLK3	0.00377280514607214
216	ATM	PRKAA1	0.00850051603162605
217	ATM	PRKACA	0.00871364473969916
218	ATM	PRKCA	0.0342721710229057
219	ATM	PRKCB	0.00528338815061336
220	ATM	PRKCD	0.00312017121441688
221	ATM	PRKCE	0.00881996128597962
222	ATM	PRKCI	0.00440114299748018
223	ATM	PRKCQ	0.00672556266427726
224	ATM	PRKCZ	0.0121205351797329
225	ATM	PRKD1	0.00105090217772386
226	ATM	PRKG1	0.0174769187268593
227	ATM	RET	0.012335389270639
228	ATM	ROCK1	0.00250990132960105
229	ATM	RPS6KA1	0.00600074965503428
230	ATM	RPS6KA3	0.00395966140564408
231	ATM	RPS6KA5	0.00625624902063571
232	ATM	RPS6KB1	0.00731700934811563
233	ATM	SGK1	0.00262232715036159
234	ATM	SRC	0.015714075017967
235	ATM	STK11	0.0263685435133203
236	ATM	SYK	0.00564362984280908
237	ATM	TBK1	0.0076991723956148
238	ATM	TTK	0.0187986507003943
239	ATM	ULK1	0.00896740354641778
240	ATM	VRK1	0.0133558271122851
241	ATR	AURKA	0.00672845694572377
242	ATR	AURKB	0.00806412402381262
243	ATR	BRAF	0.00879613805635859
244	ATR	CAMK1	0.00253269727783145
245	ATR	CAMK2A	0.00117999386397116
