gena	genb	funchisq	pval
1	ABL1	ADRBK1	-0.423800163984234	0.664144220739126
2	ABL1	AKT1	-0.407390051313293	0.658139233631128
3	ABL1	ATM	-1.20232507799916	0.885381197821456
4	ABL1	ATR	-0.640037755180283	0.738925972943245
5	ABL1	AURKA	-0.404067645031276	0.656918511691411
6	ABL1	AURKB	-0.688459467935877	0.754418256930158
7	ABL1	BMX	3.12312260301337	0.000894715950719843
8	ABL1	BRAF	0.403295575020194	0.343365398300692
9	ABL1	BTK	-0.483589199370912	0.685661279283288
10	ABL1	CAMK1	-0.326524312994742	0.627986151339509
11	ABL1	CAMK2A	-0.522422995486641	0.699312075685005
12	ABL1	CAMK2D	0.247691988536257	0.402186365488802
13	ABL1	CDC7	0.352279309394716	0.362314401782688
14	ABL1	CDK1	0.51236123330349	0.304199108637348
15	ABL1	CDK2	-0.297139262100572	0.616819904784577
16	ABL1	CDK4	-1.09195717287313	0.862574037042298
17	ABL1	CDK5	-0.585134630657784	0.720771402573249
18	ABL1	CDK7	-0.666420679765247	0.747428875985255
19	ABL1	CDK9	-1.2270876496424	0.890105175367254
20	ABL1	CHEK1	-1.20500909820939	0.885900105196946
21	ABL1	CHEK2	-1.14190977123011	0.873254236679312
22	ABL1	CHUK	-0.272411483311915	0.607347177970523
23	ABL1	CSNK1A1	-0.830722479893421	0.796934788008245
24	ABL1	CSNK1D	-1.22916528010143	0.890495078204289
25	ABL1	CSNK2A1	-0.76618670506089	0.778217391052987
26	ABL1	DAPK1	-0.510503957590116	0.695150778661908
27	ABL1	DYRK1A	-1.296365193513	0.902575151141132
28	ABL1	DYRK2	-0.694006443037007	0.756160915830131
29	ABL1	EGFR	-0.461098104090777	0.67763588904879
30	ABL1	ERBB2	-1.16043448108846	0.877064022579193
31	ABL1	FER	-0.822218112153247	0.794523613877918
32	ABL1	FYN	-0.270075391647457	0.606448873254603
33	ABL1	GRK4	0.858316527178181	0.195358852906316
34	ABL1	GSK3B	1.00882047526269	0.156530369775722
35	ABL1	HCK	0.347761208707504	0.364009762164999
36	ABL1	IKBKB	-0.371272894388558	0.644782857684568
37	ABL1	INSR	-1.31861770921889	0.906351524897166
38	ABL1	IRAK1	-1.16356583800039	0.877699998773485
39	ABL1	JAK2	-0.378718565268038	0.647551567265789
40	ABL1	LATS1	-1.12059666259779	0.868770206871604
41	ABL1	LCK	-0.668761741837497	0.748176262377618
42	ABL1	LYN	-0.667712985792389	0.747841590401583
43	ABL1	MAP2K1	-0.738595971381332	0.769923814375651
44	ABL1	MAP2K4	-0.0232499108704307	0.509274536882852
45	ABL1	MAP3K5	1.49109914377787	0.0679677335523276
46	ABL1	MAP3K7	-1.2738243941549	0.89863717108661
47	ABL1	MAP3K8	0.0588015810377309	0.476555074577826
48	ABL1	MAPK1	-0.778707162300816	0.781923881973347
49	ABL1	MAPK11	-1.05471390725235	0.854221905333697
50	ABL1	MAPK14	-0.80755043874515	0.790325286308192
51	ABL1	MAPK7	-0.644595619129871	0.740405362700688
52	ABL1	MAPK8	-0.828557370135194	0.796322540553188
53	ABL1	MAPKAPK2	-0.104287439588057	0.541529377341534
54	ABL1	MARK2	-0.473101638919845	0.681929666213991
55	ABL1	MELK	-1.01544768565831	0.845053764047063
56	ABL1	MET	2.64066997022531	0.00413711384603431
57	ABL1	MTOR	-0.656529568249773	0.744258275392747
58	ABL1	NEK6	-1.02189927497845	0.846585712171014
59	ABL1	PAK1	-1.1419197120457	0.873256302909738
60	ABL1	PAK2	-1.12259973693987	0.869196236417064
61	ABL1	PAK4	-1.09258841466331	0.862712724170084
62	ABL1	PDGFRB	-1.05443059400794	0.85415708928048
63	ABL1	PDPK1	-1.232818529832	0.891178261782721
64	ABL1	PIM1	-0.96422266290537	0.832532847737266
65	ABL1	PLK1	-0.0604136499664555	0.524086906292915
66	ABL1	PLK3	-0.805254110343063	0.78966347144416
67	ABL1	PRKAA1	0.552129466084999	0.290429827523124
68	ABL1	PRKACA	-1.22736102207123	0.890156535218176
69	ABL1	PRKCA	-0.872280059481757	0.80847219340016
70	ABL1	PRKCB	-0.776376041044155	0.781236506582842
71	ABL1	PRKCD	-1.13055238941462	0.870878231907868
72	ABL1	PRKCE	-0.322538045941775	0.626477440030819
73	ABL1	PRKCI	-0.853700675137639	0.803364570010799
74	ABL1	PRKCQ	0.490546113483719	0.311873753571092
75	ABL1	PRKCZ	-1.33755496292437	0.909479222986287
76	ABL1	PRKD1	-1.37074734619083	0.914773135038886
77	ABL1	PRKG1	-1.03018494477557	0.848538402161492
78	ABL1	RET	-0.408958526303245	0.658714951274858
79	ABL1	ROCK1	-1.10590910755851	0.865617068818942
80	ABL1	RPS6KA1	-0.120918424075857	0.548122175526981
81	ABL1	RPS6KA3	-0.945638308153462	0.827833450904399
82	ABL1	RPS6KA5	-0.584135578690636	0.720435450290894
83	ABL1	RPS6KB1	0.442586648653213	0.329032371846185
84	ABL1	SGK1	-1.2689881873687	0.897777361408653
85	ABL1	SRC	-0.00376094189951213	0.501500395200745
86	ABL1	STK11	-0.11355725012893	0.545205611242857
87	ABL1	STK4	-1.3777407099608	0.915858321276292
88	ABL1	SYK	-0.609539332939645	0.72891649508934
89	ABL1	TBK1	-0.346172335015151	0.635393397830392
90	ABL1	TTK	-1.20019774346218	0.884968724245328
91	ABL1	ULK1	-1.19372627251084	0.883707470036403
92	ABL1	VRK1	-0.243260041584193	0.596098021529002
93	ADRBK1	ABL1	-0.794760229496897	0.786623505265891
94	ADRBK1	AKT1	-0.580498866213151	0.719210874443725
