gena	genb	funchisq	pval
1	ABL1	AKT1	-1.17990832198535	0.880981660182681
2	ABL1	ATM	-0.390296129960614	0.651841207656769
3	ABL1	ATR	0.0878269595158051	0.465007104980802
4	ABL1	AURKA	-1.07540346041212	0.858902933396693
5	ABL1	AURKB	-0.0664961703953942	0.526508596727398
6	ABL1	BRAF	-0.616735445868775	0.731295381302343
7	ABL1	CAMK1	-0.540019468664414	0.705408196894968
8	ABL1	CAMK2A	0.262808093477165	0.396349248535578
9	ABL1	CAMK2D	0.302852040943686	0.381001310826067
10	ABL1	CDC7	0.266350396468379	0.394984681797513
11	ABL1	CDK1	-0.17730986830162	0.570367500087601
12	ABL1	CDK2	-0.81515033136389	0.792506867734783
13	ABL1	CDK4	-0.922693365287351	0.821916487813307
14	ABL1	CDK5	-1.17024431628089	0.87904866829743
15	ABL1	CDK7	-0.98686950641563	0.838146692554004
16	ABL1	CDK9	-0.279719454397554	0.610153624271876
17	ABL1	CHEK1	-1.25287434711397	0.894874280472644
18	ABL1	CHEK2	-0.855819211451683	0.803951106480097
19	ABL1	CHUK	-0.300797185513745	0.618215422645193
20	ABL1	CSNK1A1	-0.323493093009268	0.626839081219324
21	ABL1	CSNK1D	-1.30118709595518	0.903402789439999
22	ABL1	CSNK2A1	-1.06197392513252	0.85587623865345
23	ABL1	DAPK1	-0.143410073473947	0.557016836136411
24	ABL1	DYRK1A	-0.975503124384327	0.835344623681323
25	ABL1	DYRK2	-1.17629963644788	0.880262419496973
26	ABL1	EGFR	-0.581959594876274	0.719703051426668
27	ABL1	FYN	0.177489314985393	0.429562028699736
28	ABL1	GSK3B	0.591279470202717	0.277166591413224
29	ABL1	IKBKB	-0.747614184712399	0.772653546841978
30	ABL1	INSR	-1.21410337660479	0.887645874613211
31	ABL1	IRAK1	-1.38304176439376	0.916673969833531
32	ABL1	JAK2	0.273821029175037	0.392111081047558
33	ABL1	LATS1	-0.713843387869597	0.762337986463641
34	ABL1	LCK	4.13172013571254	1.80029320274027e-05
35	ABL1	LYN	5.21220140275348	9.33063940613522e-08
36	ABL1	MAP2K1	-0.408887468189104	0.658688876965623
37	ABL1	MAP2K4	-0.808475932864582	0.790591672359742
38	ABL1	MAP3K5	-0.6156790776035	0.73094682565898
39	ABL1	MAP3K7	-1.31156761572325	0.905166967144298
40	ABL1	MAP3K8	-0.290365860698758	0.614231820819963
41	ABL1	MAPK1	-1.11000958793126	0.866502552544305
42	ABL1	MAPK11	-1.21602124167275	0.888011584819926
43	ABL1	MAPK14	-1.31473992765126	0.905701338634896
44	ABL1	MAPK7	-1.23679561880634	0.891918515489485
45	ABL1	MAPK8	-1.10046551879049	0.864435327370706
46	ABL1	MAPKAPK2	-0.227608137428612	0.590024553381376
47	ABL1	MARK2	-1.10326519249858	0.865043991170436
48	ABL1	MTOR	-0.566718233519415	0.714547184576722
49	ABL1	NEK6	-1.14432412095262	0.873755378245724
50	ABL1	PAK1	-0.65434151468582	0.743554097422733
51	ABL1	PAK2	-1.1203912785571	0.868726470078558
52	ABL1	PAK4	-1.01312492342126	0.844499752518989
53	ABL1	PDPK1	-1.03650333919749	0.850016308796045
54	ABL1	PIM1	-1.02315449129203	0.846882596932353
55	ABL1	PLK1	-1.22597602736524	0.88989615178996
56	ABL1	PLK3	-0.0700325681907532	0.527916131200566
57	ABL1	PRKAA1	-0.0203917611689853	0.50813457193998
58	ABL1	PRKACA	-1.2332280660123	0.891254656495978
59	ABL1	PRKCA	-0.861439328866979	0.805501938486576
60	ABL1	PRKCB	1.81979651351708	0.0343949994421892
61	ABL1	PRKCD	-0.966085609699103	0.832999327675367
62	ABL1	PRKCE	1.81545375104906	0.0347271036020877
63	ABL1	PRKCI	-0.837285041627654	0.79878381734582
64	ABL1	PRKCQ	-0.330007134897524	0.629302714506592
65	ABL1	PRKCZ	-0.524269700490296	0.699954515998135
66	ABL1	PRKD1	-1.02997931956453	0.848490143177112
67	ABL1	PRKG1	-0.823668881796943	0.794936137274122
68	ABL1	RET	0.434764545406397	0.331866671140348
69	ABL1	ROCK1	-1.04485399880414	0.851954773349639
70	ABL1	RPS6KA1	-1.12038180988105	0.86872445346922
71	ABL1	RPS6KA3	-0.679657089230199	0.75163919377254
72	ABL1	RPS6KA5	-1.14395026096805	0.87367786740032
73	ABL1	RPS6KB1	3.70912650436311	0.000103987751695764
74	ABL1	SGK1	-1.14681041202656	0.874270007484497
75	ABL1	SRC	-0.20818192668551	0.582456540072673
76	ABL1	STK11	-1.08671756109756	0.861419174717327
77	ABL1	SYK	2.17851409968173	0.0146838918381931
78	ABL1	TBK1	-0.822325449744524	0.79455415197388
79	ABL1	TTK	-0.662639740226	0.746219344033201
80	ABL1	ULK1	-1.00512755742752	0.842582283939805
81	ABL1	VRK1	0.32395369828436	0.372986544421009
82	AKT1	ABL1	-1.01390402674753	0.844685725118532
83	AKT1	ATM	-1.12426580866848	0.869549860620055
84	AKT1	ATR	-0.0461566943514017	0.51840732071834
85	AKT1	AURKA	-0.800966265210649	0.788424412079848
86	AKT1	AURKB	-0.685997862838041	0.753642771954064
87	AKT1	BRAF	-0.378936856605527	0.647632622986557
88	AKT1	CAMK1	0.175814277198798	0.430219926386616
89	AKT1	CAMK2A	-0.137611674897439	0.554726335957147
90	AKT1	CAMK2D	-0.516060265907271	0.697093840842451
91	AKT1	CDC7	-1.17334557373548	0.879671373276935
92	AKT1	CDK1	-0.527994072424337	0.701248274949784
93	AKT1	CDK2	-1.13166468687683	0.871112283403907
94	AKT1	CDK4	-0.685276316108898	0.75341521296694
