gena	genb	funchisq	pval
1	ABL1	ADRBK1	-0.192404796970334	0.576287432418073
2	ABL1	AKT1	-0.858615611192945	0.804723688824176
3	ABL1	ATM	-0.533873343151695	0.70328541697952
4	ABL1	ATR	0.227961287607826	0.409838168088633
5	ABL1	AURKA	-0.846307595203037	0.801309414049499
6	ABL1	AURKB	0.080265095729013	0.468013209094798
7	ABL1	BMX	0.159162634125812	0.436770371089767
8	ABL1	BRAF	-0.934357248053864	0.824940178561228
9	ABL1	BTK	-0.0103092783505154	0.504112734163251
10	ABL1	CAMK1	0.421102461603198	0.336840132072867
11	ABL1	CAMK2A	0.108668209551858	0.456732828798092
12	ABL1	CAMK2D	-0.653166421207661	0.743175502325925
13	ABL1	CDC7	-0.740269303597731	0.770431698519232
14	ABL1	CDK1	-0.832106038291613	0.797325453086621
15	ABL1	CDK2	-0.283925941510625	0.611766432105383
16	ABL1	CDK4	-0.885125184094264	0.811955441021449
17	ABL1	CDK5	-0.978855459709678	0.836174298845114
18	ABL1	CDK7	-0.229013254786451	0.590570692974883
19	ABL1	CDK9	-0.896802019776992	0.815087714990785
20	ABL1	CHEK1	-0.705916616185607	0.759880003179503
21	ABL1	CHEK2	-0.744056385440775	0.771578818130715
22	ABL1	CHUK	-0.842520513359986	0.800251668812089
23	ABL1	CSNK1A1	-0.931516936671578	0.824206886124618
24	ABL1	CSNK1D	0.246896696823057	0.402494086381097
25	ABL1	CSNK2A1	-0.706809239936315	0.760157484139273
26	ABL1	DAPK1	0.0834209972648843	0.466758396648886
27	ABL1	DYRK1A	-0.2574163686093	0.601571315892118
28	ABL1	DYRK2	-0.851988217967609	0.802889684299119
29	ABL1	EGFR	-0.0645907847675176	0.525750088960268
30	ABL1	ERBB2	-0.189248895434463	0.575051126508863
31	ABL1	FER	-0.346412791920894	0.635483743499593
32	ABL1	FYN	-0.268777614138441	0.605949589513579
33	ABL1	GRK4	-0.0822638333683989	0.532781543150378
34	ABL1	GSK3B	-0.132758257942353	0.552807716299108
35	ABL1	HCK	-0.202503681885125	0.580238509844666
36	ABL1	IKBKB	-0.861455922575217	0.80550650632026
37	ABL1	INSR	0.44792762465811	0.327102715431277
38	ABL1	IRAK1	-0.131495897328005	0.552308484073332
39	ABL1	JAK2	-0.681885125184099	0.75234420409453
40	ABL1	LATS1	-0.939091100357672	0.826158013418188
41	ABL1	LCK	0.0625920471281289	0.475045681236694
42	ABL1	LYN	-0.44961077214391	0.673504440288917
43	ABL1	MAP2K1	-0.877551020408163	0.809906290251513
44	ABL1	MAP2K4	1.44487691984008	0.0742462301465758
45	ABL1	MAP3K5	0.481064590784761	0.315235296624261
46	ABL1	MAP3K7	-0.340732169156325	0.633347390595699
47	ABL1	MAP3K8	0.63980643803913	0.261149223279105
48	ABL1	MAPK1	-0.334420366084578	0.630968813352851
49	ABL1	MAPK11	0.00199873763938574	0.499202619579135
50	ABL1	MAPK14	-0.612455291394912	0.729881715261406
51	ABL1	MAPK7	0.227014517147065	0.41020622689917
52	ABL1	MAPK8	-0.837155480749004	0.798747410986725
53	ABL1	MAPKAPK2	-0.712181779928475	0.761823890992569
54	ABL1	MARK2	-0.723227435304018	0.765229917013081
55	ABL1	MELK	-0.175362928676625	0.569602766098498
56	ABL1	MET	0.0266147696191847	0.489383496490123
57	ABL1	MTOR	-0.429097412160743	0.666073832262713
58	ABL1	NEK6	0.00957290132547683	0.49618102324403
59	ABL1	PAK1	-0.948558804965302	0.828577474399746
60	ABL1	PAK2	-0.982011361245526	0.836952874445568
61	ABL1	PAK4	-0.0498381594145788	0.519874321181434
62	ABL1	PDGFRB	0.130759520302967	0.447982773048269
63	ABL1	PDPK1	0.0575426046707337	0.477056484346034
64	ABL1	PIM1	0.460235640648001	0.322673545693647
65	ABL1	PLK1	-0.939091100357672	0.826158013418188
66	ABL1	PLK3	-0.241321270776353	0.595346936861288
67	ABL1	PRKAA1	-0.862402693035989	0.805767020441907
68	ABL1	PRKACA	-0.141910372396382	0.556424599374261
69	ABL1	PRKCA	1.25930990953081	0.103959207663019
70	ABL1	PRKCB	-0.823585104144755	0.794912328669679
71	ABL1	PRKCD	-0.953608247422686	0.829859010275065
72	ABL1	PRKCE	0.227330107300652	0.410083531822914
73	ABL1	PRKCI	0.189459288870186	0.424866429987014
74	ABL1	PRKCQ	-0.516200294550814	0.697142737704885
75	ABL1	PRKCZ	-0.116347569955817	0.546311456897878
76	ABL1	PRKD1	-0.692527259924964	0.755696863549887
77	ABL1	PRKG1	-0.891752577319586	0.8137372173553
78	ABL1	RET	-0.800231432779299	0.7882116393311
79	ABL1	ROCK1	-0.863349463496739	0.806027321941278
80	ABL1	RPS6KA1	-0.976961918788149	0.835705997205821
81	ABL1	RPS6KA3	-0.920471281296031	0.821336733036313
82	ABL1	RPS6KA5	-0.477067115505998	0.683342834822036
83	ABL1	RPS6KB1	-0.922049232063962	0.821748551867586
84	ABL1	SGK1	-0.389964233115926	0.651718502436537
85	ABL1	SRC	0.715863665053647	0.237037768110136
86	ABL1	STK11	-0.429097412160743	0.666073832262713
87	ABL1	STK4	-0.0103092783505154	0.504112734163251
88	ABL1	SYK	-0.019145802650957	0.507637603557939
89	ABL1	TBK1	-0.207553124342523	0.582211045714948
90	ABL1	TTK	-0.31737849779087	0.624521789615666
91	ABL1	ULK1	-0.26909320429203	0.606071020091609
92	ABL1	VRK1	-0.326846202398489	0.628107893802455
93	ADRBK1	ABL1	-0.970408163265311	0.834078459371236
94	ADRBK1	AKT1	-0.864778417488398	0.806419790402272
95	ADRBK1	ATM	-0.583802291237404	0.720323331723836
96	ADRBK1	ATR	-1.07008721648907	0.857709973665549
97	ADRBK1	AURKA	-0.839697145458293	0.799460892543961
98	ADRBK1	AURKB	1.45813323822319	0.0724019106518721
99	ADRBK1	BMX	2.72645504878138	0.00320093359249042
100	ADRBK1	BRAF	0.138707747693708	0.4448405477572
101	ADRBK1	BTK	-0.106834611505359	0.542539905704879
102	ADRBK1	CAMK1	0.703012839973377	0.241023873852267
103	ADRBK1	CAMK2A	0.136825475871567	0.445584373093789
104	ADRBK1	CAMK2D	-0.633211926568766	0.736702370817159
105	ADRBK1	CDC7	-0.55608583865629	0.71092391224042
106	ADRBK1	CDK1	0.300959578762774	0.381722658890841
107	ADRBK1	CDK2	-0.0764359215776857	0.530463854050145
108	ADRBK1	CDK4	-0.948774797551706	0.828632418768799
109	ADRBK1	CDK5	-1.24551495031319	0.89352873825257
110	ADRBK1	CDK7	-0.855555285559873	0.803878094065965
111	ADRBK1	CDK9	-1.1690006007429	0.878798305332983
112	ADRBK1	CHEK1	-0.944676131322097	0.82758787683064
113	ADRBK1	CHEK2	-0.00415668360724182	0.501658272061903
114	ADRBK1	CHUK	-0.861625612186297	0.805553213886549
115	ADRBK1	CSNK1A1	-0.863790224781767	0.806148430636742
116	ADRBK1	CSNK1D	-0.972867876875183	0.834690513935036
117	ADRBK1	CSNK2A1	-0.970408163265311	0.834078459371236
118	ADRBK1	DAPK1	-0.614483321938398	0.73055200461507
119	ADRBK1	DYRK1A	0.886063774677171	0.187791581102592
120	ADRBK1	DYRK2	-0.621353614089243	0.732816507516757
121	ADRBK1	EGFR	-0.46724260865095	0.679836843895949
122	ADRBK1	ERBB2	-1.14641333887713	0.874187916960332
123	ADRBK1	FER	-0.716973022654302	0.76330462865916
124	ADRBK1	FYN	-0.440843746345341	0.670336939576267
125	ADRBK1	GRK4	31.102549789967	1.1123541063094e-212
126	ADRBK1	GSK3B	1.0816788737938	0.139697621825743
127	ADRBK1	HCK	0.944602428345942	0.172430943410794
128	ADRBK1	IKBKB	-0.121845729286982	0.548489401498466
129	ADRBK1	INSR	-0.955080408155894	0.830231482100234
130	ADRBK1	IRAK1	0.573136084245236	0.283276278364651
131	ADRBK1	JAK2	0.482128241644429	0.314857424307136
132	ADRBK1	LATS1	-1.27186675582324	0.898289767308264
133	ADRBK1	LCK	1.59285684389336	0.0555961547998941
134	ADRBK1	LYN	-1.37656812593016	0.915677094430467
135	ADRBK1	MAP2K1	-1.32104110717682	0.906756170959209
136	ADRBK1	MAP2K4	-0.369552701081534	0.644142100555475
137	ADRBK1	MAP3K5	-0.818051019503597	0.793335972312002
138	ADRBK1	MAP3K7	0.976506935731332	0.164406656276168
139	ADRBK1	MAP3K8	-1.23384486501586	0.891369641138475
140	ADRBK1	MAPK1	0.543584416637528	0.293363742869649
141	ADRBK1	MAPK11	-1.07225182908454	0.858196531662414
142	ADRBK1	MAPK14	-0.937622337005482	0.825780735967965
143	ADRBK1	MAPK7	1.36420787429806	0.0862510753071863
144	ADRBK1	MAPK8	-1.099827111279	0.864296271287882
145	ADRBK1	MAPKAPK2	-1.24175040666888	0.892835667151453
146	ADRBK1	MARK2	-1.35506317036213	0.91230128424476
147	ADRBK1	MELK	-0.921575969721678	0.821625101141252
148	ADRBK1	MET	1.91778401719148	0.0275692015959346
149	ADRBK1	MTOR	-0.483053691956986	0.685471193324908
150	ADRBK1	NEK6	-0.558768076002851	0.711839993809413
151	ADRBK1	PAK1	-1.30433594475528	0.90394046760245
152	ADRBK1	PAK2	-1.32089993679017	0.906732634575089
153	ADRBK1	PAK4	-0.871694764862467	0.808312541506078
154	ADRBK1	PDGFRB	3.99275341713076	3.26552374204859e-05
155	ADRBK1	PDPK1	-0.407433421502231	0.65815515785748
156	ADRBK1	PIM1	1.52565973984271	0.0635473129686668
157	ADRBK1	PLK1	-1.12133206684703	0.868926729605833
158	ADRBK1	PLK3	-1.06707558157364	0.857031146339614
159	ADRBK1	PRKAA1	-1.01314849386913	0.844505380958277
160	ADRBK1	PRKACA	2.69892682338248	0.00347817352265621
161	ADRBK1	PRKCA	0.441753511059373	0.329333791369937
162	ADRBK1	PRKCB	-0.463336894619999	0.678438547956254
163	ADRBK1	PRKCD	-0.589402049908292	0.722204199134145
164	ADRBK1	PRKCE	-0.270498146441038	0.60661147864013
165	ADRBK1	PRKCI	0.0993212098152856	0.460441619340426
166	ADRBK1	PRKCQ	-1.2649964636724	0.897063702226213
167	ADRBK1	PRKCZ	-0.539663017008056	0.705285275411755
168	ADRBK1	PRKD1	-0.884472049689442	0.811779277951216
